Designação;Evento;Data Recebimento;Data Execução;Banda;Número OS;Ocorrência;Observação
DFAC000056;pend. implantação;14/06/2016;30/06/2016;0;;;"30/06/2016 - Handover para operação
27/06/2016 - Em obra, previsto conclusão com DGO e CPE instalado para 30/06.
20/06/2016: Em mobilização para início de obra, início da rede externa para 21/06 conclusão final do acesso para 30/06 com DGO instalado.
14/06/2016: Em mobilização para início de obra, início da rede externa para 15/06 conclusão final do acesso para 30/06 com DGO instalado."
DFAC000056;em ativação;30/06/2016;30/06/2016;0;;;30/06/2016 - Configuração, topologia e cadastro nas ferramentas de monitaração já realizados
RJAC000011;pend. implantação;22/02/2016;11/04/2016;0;0133/2016/DC/4600;15137;"04/04/2016 - Projeto será enviado para Telebras em 05/04, previsto entrega para assinatura da gerente do escritório regional do RJ até 06/04, protocolo na prefeitura até 08/04.
28/03/2016 - Equipe Petcom realizou vistoria na ABIN na quinta-feira (24/03), previsto entrega do projeto para assinatura da gerente regional Telebras RJ até 30/03. Em seguida será protocolado na SECONSERVA.
21/03/2016 - Projeto enviado para assinatura do escritório regional do RJ, aguardando confirmação do fornecedor de protocolo junto a SECONSERVA.
14/03/2016 - Em projeto, previsto entrega do mesmo para assinatura da gerente regional (Soraia) para 15/03/2016.
11/03/2016 - Em projeto, previsto protocolo junto a prefeitura do RJ para a próxima semana.
01/03 - Em agendamento de vistoria.
29/02 - Em geração de ID e PEP para vistoria e projeto
23/02/2016 - Enviada OS e VTA para Engenharia"
RJAC000011;pend. comercial;11/04/2016;13/04/2016;0;;;"13/04/2016 - Recebida OS de Cancelamento de Ativação do circuito

11/04/2016 - Comercial informou que irá cancelar em 08/04. (Cláudio Laranjeira) aguardando OS de cancelamento"
RJAC000011;cancelado;13/04/2016;13/04/2016;0;0266/2016/Dc/4600;15137;13/04/2016 - Recebida OS de Cancelamento de Ativação do circuito
DFAC000071;pend. implantação;05/09/2016;00/00/0000;0;0766/2016/DC/4600;23651;"19/09/2016 - Em obra, previsto conclusão até 21/09.
08/09/16 - Enviado OS e VT para a GEC.
05/09/16 - Recebido OS e VT"
DFAC000072;pend. implantação;15/09/2016;00/00/0000;0;0783/2016/DC/4600;24164;"20/09/2016 -  Em geração de ID para elaboração de ETA.
[19/09/2016] - Encaminhada OS e VTA para a Engenharia."
ACL3000007;pend. implantação;22/08/2016;00/00/0000;0;0711/2016/DC/4600;23042;"19/09/2016 - Verificar se será atendido pelo mesmo acesso de rede própria: Anatel, Sebrae e IBAMA.
06/09/2016 - Em mobilização para início obra, previsto para semana do dia 12/09.
29/08/2016 - Em contratação do fornecedor de EILD, previsto para até 02/09.
24/08/2016 - Enviada OS e VTA para Engenharia."
ALL3000001;pend. implantação;24/08/2016;00/00/0000;0;0712/2016/DC/4600;23043;"19/09/2016 - Previsto handover final para ativação do ccto para até 20/09.
06/09/2016 - Acesso concluído, em configuração do CPE Telebras para envio ao cliente.
25/08/2016 - PPI entregue e aprovado.Inicio das atividades em 24/08. Término 29/08.
24/08/2016 - Enviada OS e VTA para Engenharia."
ALL3000001;pend. comercial;01/03/2016;10/06/2016;0;;;"10/06/2016 - Cancelamento de Ativação do Circuito

07/06/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
31/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
23/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
17/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
02/05/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
26/04/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
18/04/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
11/04/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
28/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
21/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
17/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
14/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
10/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD
01/03/2016 - Aguardando OS definitiva para contratar fornecedor de EILD"
